R1;R2;R3;R4;R5;R6;R7;R8;T
1017;1051;1310;1226;410;888;1011;986;10
983;1030;1245;1170;398;846;970;936;11
941;1011;1181;1122;384;831;941;900;12
909;991;1152;1086;370;798;914;883;13
871;971;1098;1030;356;771;879;843;14
848;952;1060;993;343;740;835;812;15
822;933;1013;965;335;703;794;794;16
792;914;977;943;324;678;774;759;17
744;895;934;890;308;636;740;735;18
719;877;893;858;299;613;713;706;19
700;859;868;829;295;599;693;674;20
672;842;830;793;284;579;662;658;21
641;826;806;770;271;545;628;628;22
620;814;765;731;260;532;620;612;23
600;798;719;706;258;523;590;592;24
572;779;712;676;245;495;570;561;25
543;765;664;645;235;480;552;552;26
530;750;652;633;229;466;537;531;27
520;737;634;606;218;444;513;514;28
500;721;599;588;211;423;490;490;29
483;704;594;563;206;410;479;479;30
468;678;559;539;201;399;466;462;31
450;662;543;519;194;383;451;444;32
434;651;518;500;185;370;427;432;33
415;642;506;484;181;358;419;416;34
408;629;488;470;175;344;402;401;35
384;612;467;452;167;332;386;388;36
375;601;455;436;159;318;370;372;37
363;585;438;421;156;306;358;360;38
